English150Char	Finnish150Char	VosaTevos150Char
22 Then said they unto him, Who art thou? that we may give an answer to them that sent us, What sayest thou of thyself?	22 Niin he sanoivat hänelle: Kuka olet, että me antaisimme niille vastauksen, jotka meidät lähettivät: Mitä sanot itsestäsi?	22 Itli häsi saaen tu hä: Kojo ja oo, syt ajsi faaif ookte tu häsi, kojosi pagaaen ajsi: Ko ja saa öb ja aut?
23 He said, “I am the voice of one crying in the wilderness, ‘Prepare the way of the Lord,’ as the prophet Isaiah said.”	23 Hän sanoi: Minä olen huutava ääni korvessa, valmistakaa Herran tietä, niin kuin Jesaja profeetta sanoi.	23 Hä saaen: Aj oo sääva hö in vildmol, enfortee jasi Romäof tul, itli li Jesaja usennesaajo saaen.
24 And they that were sent were of the Pharisees.	24 Ja jotka lähetetyt olivat, olivat farisealaisista.	24 A kojosi pagaaen ooen, ooen ob pösousjosi.
25 And they asked him, and said unto him, Why baptizest thou then, if thou be not that Christ, nor Elias, nor the Prophet?	25 Ja he kysyivät häneltä ja sanoivat hänelle: Miksi siis sinä kastat, jos et ole Kristus, etkä Elias, etkä profeetta?	25 A häsi kooen ut hä a saaen tu hä: Kosy syklirli ja usvaam, if ja ej oo Krist, a ja ej oo Elias, a ja ej oo usennesaajo.
26 John answered them, saying, I baptize with water: but among you standeth one whom ye know not.	26 Johannes vastasi heille ja sanoi: Minä kastan vedellä, mutta teidän keskellänne seisoo, jota ette tunne.	26 Johan ooken tu häsi a saaen: Aj usvaam vy vam, mut midin jasi tiis, kojo jasi ej kavodaa.
27 He is the one who comes after me, who was preferred before me, the thong of whose sandals I am not worthy to untie.	27 Hän on se, joka minun jälkeeni tulee, joka minun edelläni on ollut, jonka kengän nauhoja en minä ole kelvollinen päästämään.	27 Hä oo it, kojo ne aj uut, kojo oo ooen en aj, kojo-of tuveto nauhsi aj ej oo forhava fatuu.
28 These things happened in Bethabara beyond the Jordan, where John was baptizing.	28 Nämä tapahtuivat Betabarassa, sillä puolella Jordania, kussa Johannes kasti.	28 Täsi hääpen in Betabar, la it sid Jordan, koin Johan usvaamen.
29 The next day John saw Jesus coming to him and said, “Look, the Lamb of God, who takes away the sin of the world!”	29 Toisena päivänä näki Johannes Jeesuksen tykönsä tulevan ja sanoi: Katso, Jumalan Karitsa, joka pois ottaa maailman synnin!	29 Na duva tan vokaaen Johan Jesus uut tu hä a saaen: Kaa ja, Hajo-of Ipbääpe, kojo aap yr kölof aho!
30 This is he of whom I said, After me cometh a man which is preferred before me: for he was before me.	30 Tämä on se, josta minä sanoin: Minun jälkeeni tulee mies, joka minun edelläni on ollut, sillä hän oli ennen kuin minä.	30 Tä oo it, öb kojo aj saaen: Ne aj uut mä, kojo en aj oo ooen, syfor hä ooen en na aj.
31 And I knew him not: but that he should be made manifest in Israel, therefore am I come baptizing with water.	31 Ja en minä häntä tuntenut, mutta että hän ilmestyisi Israelissa, sen tähden tulin minä vedellä kastamaan.	31 A aj ej kavodaaen hä, mut syt hä sadkauutif in Isrlo, itsy uuten aj vy vam usvaam.
32 And John bare record, saying, I saw the Spirit descending from heaven like a dove, and it remained upon him.	32 Ja Johannes todisti sanoen: Minä näin Hengen taivaasta tulevan alas niin kuin kyyhkyisen ja seisahtavan häneen.	32 A Johan dariilen saali: Aj vokaaen Ho uut ut yllo lytu itli li dovsif a autstoop le hä.
33 And I knew him not: but he that sent me to baptize with water, the same said unto me, 	33 Ja en minä häntä tuntenut, mutta joka minun lähetti vedellä kastamaan, se sanoi minulle: 	33 A aj ej kavodaaen hä, mut kojo pagaaen aj vy vam usvaam, it saaen tu aj: 
Upon whom thou shalt see the Spirit descending, and remaining on him, the same is he which baptizeth with the Holy Ghost.	Jonka päälle sinä näet Hengen tulevan alas ja seisahtavan häneen, hän on se, joka kastaa Pyhällä Hengellä.	Le kojo ja vokaa Ho uut lytu a autsoop le hä, hä oo it, kojo usvaam vy Pyhva Ho.
34 And I saw and bore witness that this is the Son of God.	34 Ja minä näin sen ja todistin hänen olevan Jumalan Pojan.	34 A aj vokaaen it a dariilen hä oo Hajo-of Son.
35 Again the next day John stood with two of his disciples,	35 Toisena päivänä seisoi Johannes taas ja kaksi hänen opetuslapsistansa,	35 Na duva tan tiisen Johan anen a du ob häof usdavjosi,
36 And when he saw Jesus as he walked, he said, Behold, the Lamb of God!	36 ja kun hän näki Jeesuksen käyvän, sanoi hän: Katso, Jumalan Karitsa!	36 a na hä vokaaen Jesus tuu, saaen hä: Kaa ja, Hajo-of Ipbääpe!
37 And the two disciples heard him speak, and they followed Jesus.	37 Ja ne kaksi opetuslasta kuulivat hänen puhuvan ja seurasivat Jeesusta.	37 A itsi du usdavjosi vohööen hä sasaa a dekaaen Jesus.
38 But Jesus turned and saw them following, and said to them, “What are you looking for?”	38 Mutta Jeesus kääntyi ja näki ne seuraavan ja sanoi heille: Mitä te etsitte?	38 Mut Jesus auttöönen a vokaaen itsi dekaa a saaen tu häsi: Ko jasi seek?
So they said to him, “Rabbi” (that is, Teacher), where do you live?	Niin he sanoivat hänelle: Rabbi (se on opettaja) missä asut?	Itli häsi saaen tu hä: Ropadaavjo (it oo padaavjo) koin ja eloo?
39 He said to them, “Come and see!”	39 Hän sanoi heille: Tulkaa ja katsokaa!	39 Hä saaen tu häsi: Uut jasi a kaa jasi!
And they came and saw where he dwelt, and abode with him that day, and it was about the tenth hour.	Ja he tulivat ja näkivät, missä hän asui ja olivat sen päivän hänen tykönänsä ja se oli lähes kymmenes hetki.	A häsi uuten a vokaaen, koin hä elooen a ooen it tan tut hä a it ooen rafli basva ipno.
40 Andrew, Simon Peter's brother, was one of the two who heard John speak and followed him.	40 Andreas, Simon Pietarin veli, oli yksi niistä kahdesta, jotka sen Johannekselta kuulleet olivat ja häntä seurasivat.	40 Andreas, Simon Pietarof bajson, ooen is ob itsi du, kojosi it ut Johan vohööen ooen a hä dekaaen.
41 He first found his own brother Simon and said to him, “We have found the Messiah; he is the anointed one.”	41 Tämä löysi ensin veljensä Simonin ja sanoi hänelle: Me löysimme Messiaan, se on voideltu.	41 Tä keesen isvana häof bajson Simon a saaen tu hä: Ajsi seeken Mesias, it oo oilpaaen.
42 And he brought him to Jesus.	42 Ja hän toi hänen Jeesuksen tykö.	42 A hä aagen hä tu Jesus.
But Jesus, looking at him, said, “You are Simon the son of Jonah; you shall be called Cephas, which means a rock.”	Mutta kun Jeesus katsoi häneen, sanoi hän: Sinä olet Simon Joonan poika ja sinä pitää kutsuttaman Keefas, se on kallio.	Mut na Jesus kaaen tu hä, saaen hä: Ja oo Simon Jonof son a ja piit tukoo Kefas, it oo kaum.
43 The next day Jesus wanted to go to Galilee, and he found Philip and said to him, “Follow me.”	43 Toisena päivänä tahtoi Jeesus mennä Galileaan ja löysi Filippuksen ja sanoi hänelle: Seuraa minua!	43 Na duva tan obraaen Jesus tuu Galilea a keesen Filipus a saaen tu hä: Dekaa ja aj!
44 Now Philip was from Bethsaida, the city of Andrew and Peter.	44 Mutta Filippus oli Betsaidasta, Andreaksen ja Pietarin kaupungista.	44 Mut Filipus ooen ut Betsaid, taunlo of Andreas a Pietar.
45 Philip found Nathanael and said to him, 	45 Filippus löysi Natanaelin ja sanoi hänelle: 	45 Filipus keesen Natanael a saaen tu hä: 
We have found him about whom Moses in the law and the prophets wrote-Jesus of Nazareth, the son of Joseph.	Me olemme löytäneet sen, josta Mooses kirjoitti laissa ja profeetat, Jeesuksen, Josefin pojan Natsaretista.	Ajsi oo keesen it, öb kojo Moses kiiren in pöso a usennesaajosi, Jesus, Josefof son ut Natsaret.
46 And Nathanael said unto him, Can any good thing come out of Nazareth?	46 Ja Natanael sanoi hänelle: Tulleeko Natsaretista jotain hyvää?	46 A Natanael saaen tu hä: Meejko uut ut Natsaret ö hava?
Philip said to him, “Come and see.”	Filippus sanoi hänelle: Tule ja katso.	Filipus saaen tu hä: Uut ja a kaa ja.
47 Jesus saw Nathanael coming to him and said of him, “Behold, an Israelite indeed, in whom there is no deceit!”	47 Jeesus näki Natanaelin tykönsä tulevan ja sanoi hänestä: Katso, totisesti oikea Israelilainen, jossa ei petosta ole.	47 Jesus vokaaen Natanael uutva tu hä a saaen öb hä: Kaa ja, darilli ratva isrjo, in kojo ej oo hatuah.
48 Nathanael said to him, “How do you know me?”	48 Natanael sanoi hänelle: Mistä minut tunnet?	48 Natanael saaen tu hä: Koöb ja kavodaa aj?
Jesus answered and said to him, “Before Philip called you, when you were under the fig tree, I saw you.”	Jeesus vastasi ja sanoi hänelle: Ennen kun Filippus kutsui sinua viikunapuun alla ollessasi, näin minä sinun.	Jesus ooken a saaen tu hä: En na Filipus tukooen ja al figpu ooen, aj vokaaen ja.
49 Nathanael answered and said to him, “Rabbi, you are the Son of God; you are the King of Israel.”	49 Vastasi Natanael ja sanoi hänelle: Rabbi, sinä olet Jumalan Poika, sinä olet Israelin kuningas.	49 Ooken Natanael a saaen tu hä: Ropadaavjo, ja oo Hajo-of son, ja oo Isrlo-of roylmä.
50 Jesus answered and said unto him, Because I said unto thee, I saw thee under the fig tree, believest thou?	50 Jeesus vastasi ja sanoi hänelle: Sinä uskot, että minä sanoin sinulle: Minä näin sinut fikunapuun alla.	50 Jesus ooken a saaen tu hä: Ja uus, syt aj saaen tu ja: Aj vokaaen ja al figpu.
You will see even bigger ones.	Sinä saat vielä suurempia nähdä.	Ja aaf pirnen pipir ösi vokaa.
51 And he said to him, Truly, truly, I say to you, hereafter you will see heaven opened, 	51 Ja sanoi hänelle: Totisesti, totisesti sanon minä teille, tästedes pitää teidän näkemän taivaan avoinna 	51 A saaen tu hä: Darilli, darilli aj saa tu jasi, täne piit jasi vokaa halo oup 
and the angels of God ascending and descending on the Son of Man.	ja Jumalan enkelit astuvan ylös ja tulevan alas Ihmisen Pojan luo.	a Hajo-of enkjosi vetuu yltu a uut lytu tu Mämof Son.
John 2	Johannes 2	Johan 2
1 And on the third day there was a marriage in Cana of Galilee, and the mother of Jesus was there;	1 Ja kolmantena päivänä olivat häät Galilean Kaanassa ja Jeesuksen äiti oli siellä;	1 A na treva tan ooen tebajvihäp in Galilo Kan a Jesusof am ooen itla;
2 So Jesus and his disciples were also invited to the wedding.	2 Niin Jeesus ja hänen opetuslapsensa kutsuttiin myös häihin.	2 Itli Jesus a häof usdavjosi tukooenta ali intu tebajvihäp.
3 And when the wine failed, the mother of Jesus said unto him, They have no wine.	3 Ja kun viini puuttui, sanoi Jeesuksen äiti hänelle: Ei heillä ole viiniä.	3 A na vainvem ejofriien, saaen Jesusof am tu hä: Häsi ej oof vainvem.
4 Jesus said to her, “Woman!	4 Jeesus sanoi hänelle: Vaimo!	4 Jesus saaen tu hä: Viäm!
What do I have to do with you?	Mitä minun on sinun kanssa?	Ko aj oo vi ja?
My time has not come yet.	Ei minun aikani ole vielä tullut.	Ajof no ej oo pirnen uuten.
5 His mother said to the servants, “Do whatever he tells you.”	5 Hänen äitinsä sanoi palvelijoille: Mitä hän teille sanoo, se tehkää.	5 Häof am saaen tu seerjosi: Ko hä tu jasi saa, tee jasi it.
Now there were six stone water jars set there, according to the Jewish ritual of purification, each holding two or three gallons.	6 Niin siellä oli kuusi kivistä vesiastiaa pantuna juutalaisten puhdistamisen tavan mukaan ja kukin veti kaksi tai kolme mittaa.	6. Itli itla ooen sik kamsiva vamves paaen li jutva kliinte lio a obki poaagen du taj tre piprisi.
7 Jesus said to them, “Fill the water jars with water.”	7 Jeesus sanoi heille: Täyttäkää vesiastiat vedellä.	7. Jesus saaen tu häsi: Fuul jasi vamvessi vy vam. 
And they filled them to overflowing.	Ja he täyttivät ne ylen täyteen.	A häsi fuulen itsi ylpiri fultu.
8 And he said unto them, Draw out now, and bear to him that cometh.	8 Ja hän sanoi heille: Pankaa nyt sisälle ja viekää edeskäyvälle.	8 A hä saen tu häsi: Paa jasi nen inle a gaa jasi tu edtuujo.
And they took it.	Ja he veivät.	A häsi gaaen.
9 But when the steward tasted the water that had become wine, and knew not whence it was: 	9 Mutta kun edeskäypä maisti sitä vettä, joka viiniksi tullut oli, eikä tietänyt, kusta se tuli, 	9 Mut na edtuujo emfiien it vam, ko ooen muuen vainvem, a ej daaen kout it uuten, 
though the servants which drew the water knew; the steward called the bridegroom.	mutta palvelijat tiesivät, jotka veden ammensivat, kutsui edeskäypä yljän	mut seerjosi daaen, kojosi vam vomaapen, tukooen edtuujo enbajvimä
10 and said to him, Everyone serves good wine first, and when people have drunk freely, 	10 ja sanoi hänelle: Jokainen antaa ensin hyvää viiniä ja kun juovutaan, 	10 a saaen tu hä: Ki faa isvana hava vanvem a na alkräjmuuta, 
then that which is worse. You have kept the good wine until now.	niin sitten huonompaa: Sinä kätkit hyvän viinin tähän asti.	itli itne ahvopir: Ja hiiden hava vainvem ättu tä.
11 This was the first of the signs that Jesus did in Cana of Galilee and manifested his glory.	11 Tämä on ensimmäinen tunnustähti, jonka Jeesus teki Galilean Kaanassa ja ilmoitti kunniansa.	11 Tä oo isva enmark, ko Jesus tee-en in Galilo Kan a dafaaen häof hon.
And his disciples believed in him.	Ja hänen opetuslapsensa uskoivat häneen.	A häof usdavjosi uusen intu hä.
12 Then he went down to Capernaum, he and his mother, his brothers, and his disciples, and they did not stay there long.	12 Sitten meni hän alas Kapernaumiin ja hänen äitinsä, hänen veljensä ja opetuslapsensa, eikä siellä kauan viipyneet.	12 Itne tuuen hä lytu Kapernaum a häof am, bajsonsi a usdavjosi, a ej itla luna apnooen.
13 And the Passover of the Jews was at hand, and Jesus went up to Jerusalem,	13 Ja Juutalaisten pääsiäinen oli läsnä ja Jeesus meni ylös Jerusalemiin,	13 A jutjosiof Afturono ooen tuvi a Jesus tuuen yltu Jerusalem,
14 And found in the temple those who sold cattle and sheep and doves, and the money changers sitting.	14 ja löysi temppelissä istuvan ne, jotka karjaa, lampaita ja kyyhkyjä myyskentelivät ja rahanvaihtajat.	14 a keesen in roustol siitva itsi, kojosi sirope, bääpesi a dovsifsi sifääen a rovermupaajosi.
15 And he made a whip of cords, and drove them all out of the temple, both the sheep and the cattle; 	15 Ja hän teki ruoskan köysistä ja ajoi ulos ne kaikki temppelistä, lampaat, karjan 	15 A hä tee-en vhipvo ob roupsi a tekatuuen nitu itsi ki ut roustol, bääpesi, sirope 
and he poured out the changers' coins, and overturned the tables.	ja heitti pois vaihtajien rahat ja maahan kukisti pöydät.	a heiien yr ermupaajosi rovsi a tu mol pölyyen laossi.
16 And he said to those who sold the doves, “Take these things away from here; stop making my Father’s house a house of merchandise.”	16 Ja sanoi niille, jotka kyyhkyjä myivät: Viekää nämä täältä pois ja älkää tehkö minun Isäni huonetta kauppahuoneeksi.	16 A saaen tu itsi, kojosi dovsifsi fääen: Gaa jasi täsi täel yr a ej jasi tee ajof Maof tolik mu fäftolik.
