VosaTevos	Finnnish	English
visavönet	puhelinverkko	telephone network
visavöookvö	puhelinvastaaja	answering machine
visavöpavevo	luuri	handset
visavörutuo	puhelinliittymä	telephone subscription; telephone connection
visavöö	soittaa	call; call in; dial; make a phone call
visavööen	soitettu; soittaneet; soitti	have called; phoned; dialed; called
visavööjo	soittaja	caller
visavööte	puhelinsoitto	telephone call
visbesli	järkiperäisesti	logically
visbesva	järkiperäinen	rational; sensible
visdaobva	perillä jostakin	wise to
viseem	naida; siittää	father; fuck; procreate; conceive; beget; breed; have sex
viseemen	siitetty; siitti	begot; bred; gotten
visejli	absurdisti; järjettömästi; päättömästi	nonsensically; unreasonably; uncannily; senselessly; preposterously; uxoriously; insipidly; absurdly; abstrusely; sanguinely
visejva	tolkuton; päätön; järjetön; absurdi; älytön	unsound; senseless; mindless; preposterous; nonsensical; foolish; fatuous; abstruse; absurd; impertinent
visejvao	järjettömyys	absurdity; callousness
visem	seksi	sex
visemahva	siveetön	obscene; promiscuous
Visemejnos	neitsyt	virgin; Virgo
visemejnosva	neitseellinen	virgin; virginal
visemejnosvao	neitseellisyys; neitsyys	virginity
visemejsta	selibaatti	celibacy
visemejva	naimaton	celibate
visemeo	seksielämä	sex life
visemhali	siveästi	chastely
visemhava	siveellinen; siveä	chaste
visemhavao	siveellisyys; siveys	chastity; sexual morality
visemhäp	yhdyntä	coitus; sexual intercourse; copulation; intercourse
visemide	seksismi	sexism
visemidejo	seksisti	sexist
visemideva	seksistinen	sexist
visemkava	seksikäs	sexy
visemkavao	seksikkyys	sexiness
visemli	seksuaalisesti; suvullisesti	sexually
visempom	seksipommi	sexpot
visemra	intohimo; kiima; seksuaalinen rakkaus	passion; rut; oestrus; lust; heat; fervor; fervency; ardor; estrus; sexual love; fervour
visemraejva	intohimoton	passionless
visemrali	intohimoisesti	passionately
visemrano	kiima-aika	rut
visemrapoag	sukuvietti	libido
visemrava	kiimainen; intohimoinen	impassioned; torrid; ruttish; ardent; passionate; passional; horny; fiery; fervid; burning; fervent
visemsol	siittiö	sperm cell; spermatozoid
visemtom	siitepöly	pollen
visemtomapve	luotti	stigma
visemtoom	pölyttää	pollinate
visemtoomte	pölytys	pollination
visemva	seksuaalinen	sexual
visemvao	seksuaalisuus	sexuality
visemve	siitin; penis; fallos	phallus; penis
visemylfilova	erogeeninen	erogenous
visenevli	aistillisesti	sensually; sensuously
visenevva	aistillinen	sensuous; voluptuous; sensual; sensory; sensorial; erotic
visenevvao	aistillisuus	sensuality
visid	varsi; vieri; vierus	side
visid-	vierus-	para-
visidjäär	koordinoida	coordinate
visidjäärjo	koordinaattori	coordinator
visidjäärte	koordinaatio; koordinointi	co-ordination; coordination
visio	joukko; tiimi	gathering; squad; team; band; bevy; gaggle
visiopa	nippu	bunch; bundle; sheaf
visiopaa	niputtaa	bundle up; bundle
visiopaate	niputus	bundling
visioraupaa	kääriä kokoon	roll up
visiotuongsa	joukkokanne	class action
visiotö	tiimityö	teamwork
visipa	kombinaatio	combination
visipava	kombinatorinen	combinatorial
visirytmheu	karkelo	dance
visirytmheuu	karkeloida	dance
viskosmo	viskoosi	viscose
vislhöv	pilli	pipe
visli	järkevästi; neuvokkaasti; viisaasti	sanely; sensibly; wisely
vislisa	sananlasku	proverb
vislivoli	näppärästi	cleverly
vislivote	konsti; niksi; juju	means; trick; knack
vislivotee-en	sofistikoitu	sophisticated
vislivoteva	konstikas	tricky
vislivova	näppärä	deft; dexterous; handy
vislivovao	näppäryys	dexterity; handiness
vislvo	pilli; vihellyspilli	fife; whistle
visnopst	vikkelin	fastest; quickest
visnopva	vikkelä	fast; nimble; nippy; quick; rapid
visofli	järjellisesti	sensibly
visofva	järjellinen	reasonable; sensible
visooli	yhteistuumin	in concert; together
visoop	sopia	agree; covenant; make up
visoopen	sovittu	bargained; appointed; agreed; fixed
visoopte	sopiminen	agreeing
visoopvova	sovittavissa	negotiable
visopto	sopimus	covenant; treaty; deal; contract; compact; bargain; agreement; pact
visopto for gag	sopimus kuljetuksesta	contract for transportation
visoptobesva	sopimusperusteinen	contractual
visoptoo	tehdä sopimus	close a deal
visoptorovri	sopimushinta	contract price
visoslo	yhteiskunta	society; community
visoslodav	yhteiskuntaoppi	social studies; civics
visoslodä	yhteiskuntatiede	social science; sociology
visoslojär	yhteiskuntajärjestys	social order
visosloli	yhteiskunnallisesti	socially
visoslolijär	yhteiskuntajärjestelmä	social system
visoslova	yhteiskunnallinen	social; societal; civil
visoslovao	yhteiskunnallisuus	sociability
vissa	vinkki	hint; tip
vissasa	järkipuhe	common sense
vissavö	älypuhelin	smartphone
vista	tilanne	occasion; scene; situation
vistakato	tilannekuva; tuokiokuva	snapshot
vistanukao	tilannekatsaus	situation review; review
vistuuva	järkeenkäypä	reasonable
visus	järkeisusko	rational faith
visva	järkevä; viisas	rational; wise; sensible; sane; sage; reasonable; politic; judicious; intelligent; sagacious
visvao	järkevyys; viisaus	wit; wisdom; sagacity; rationality; sensibleness
visvoide	rationalismi	rationalism
visvoidejo	rationalisti	rationalist
visvoideva	rationalistinen	rationalistic
visvoli	rationaalisesti	rationally
visvoo	rationalisoida	rationalize
visvoote	rationalisointi	rationalization
visvote	älli	bonce; smarts
visvoteva	intellektuelli	intellectual
visvova	rationaalinen	rational; rationalistic
vitehööv	säestää	accompany
vitehöövjo	säestäjä	accompanist
vitehöövte	säestys	accompaniment
viteomo	valkuainen	albumen; white
vitesuutte	yhteislaukaus	salvo; volley
vitfis	siika	whitefish
vithemosol	valkosolu	white blood cell
vitikiptäär	resonoida	resonate
vitjelva	kelmeä	sallow
vitlivao	valkoisuus	whiteness
vitmuu	valkaistua	become white
vitonjep	valkosipuli	garlic
vitpiprfiem	valkopippuri	white pepper
vitpu	koivupuu; koivu	birch; birch tree
vitpul	koivikko	grove of birch trees
vitpulaep	tuohi	birchbark
vitpumeh	mahla	sap
vitpuvhipvo	koivuvitsa	birch rod
vitralö	yhteisyritys	joint venture
vitredva	kalpea	sallow; wan; pale
vitreed	kalventaa	fade
vitrevao	kolminaisuus	trinity
Vitrevao Jätan	kolminaisuuden päivä	Trinity Sunday
vittemuo	albiino	albino
vittivbrauva	harmaanruskea	grey-brown
vittivhyljpe	harmaahylje	gray seal; grey seal
vittivipva	harmahtava	grayish; greyish; grizzly
vittivstorksif	harmaahaikara	heron
vittivva	harmaa	gray; grey; grizzle
vittivvao	harmaus	grayness; gray
vituoofvao	yhteenkuuluvuus	togetherness; solidarity; cohesion; cohesiveness; fellowship
vituu	yhdistyä	be united; join; unite
vituuen	yhdistyneet; yhdistynyt	federated; united; reunited; incorporated; federate; merged
Vituuen Hyjsi	Yhdistyneet kansakunnat	United Nations
vitva	valkea; valkoinen	white
vitvao	valkeus	whiteness
vitvatmo	valkokangas	screen
vitvilbekem	vehnäleipä	wheat bread
vitvilep	nisu; vehnä	wheat
vitvilrynsi	mannasuurimot	semolina
vitvitva	vitivalkoinen	pure white; snow-white
vitö	yhteistyö	collaboration; cooperation
vitöjo	yhteistyökumppani	co-worker; partner; collaborator
vitösopto	yhteistyösopimus	cooperation agreement
vitöö	tehdä yhteistyötä	collaborate; cooperate
vivat	asuste	accessory; apparel
vivev	kudos	tissue
vivevdav	histologia	histology
vivevsupprotmo	kollageeni	collagen
vivevtelouob	kudossiirrännäinen	graft
vivlö	kutomo	textile mill; weaving
vivo	varuste	accessory; equipment
vivob	kudos; kudin	knitting; weave
vivopa	varustus	equipment; equipping; fotification
vivopaa	varustaa	equip; fit; furnish; provide; supply
vivopaaen	varustettu	furnished; equipped
vivopaali	varustaen	equipping
vivosi	tamineet; varusteet	accoutrements; equipment; equipments; fittings; kit
vivstik	puikko	knitting stick; stick
vivto	kude	weft; woof
vivtosi	kuteet	weft
viäm	vaimo	married woman; missus; wife
viämvatsi	kapiot	trousseau
viögapte	yhteenotto	confrontation; fight; encounter; clash; battle; conflict
viögpoo	painia	wrestle
viögpoojo	painija	wrestler
viögpoote	paini	wrestling
viögsio	syndikaatti	syndicate
v-nöipipik	neutriino	neutrino
vo	väline; instrumentti	appliance; vehicle; utensil; tool; means; implement; instrument
voafik	potti	pot
voafna	saatavilla; saatavissa; saatavana	obtainable; gettable; available; accessible; within easy reach
voafvao	saatavuus	availability
voafvaoote	saatavissa olo	being available
vodahapiir	valmentaa	coach; prepare; train
vodahapiirjo	valmentaja	trainer; coach
vodahapiirte	valmennus	coaching; training
vodalkvem	votka; vodka	vodka
voejhäp	ihme	marvel; miracle; wonder
voejhäphyl	ihmemaa	wonderland
voejhäpipmäm	ihmelapsi	prodigy
voejhäpka	ihmetys	wonderment
voejhäpkaa	ihmetellä	wonder; marvel at; marvel
voejhäpkaaen	ihmetteli	wondered
voejhäpkaali	ihmetellen	wondering
voejhäpli	ihmeellisesti	terrifically; wondrously; wonderfully; superbly; miraculously; marvelously; marvellously; wondrous
voejhäptermo	ihmelääke; eliksiiri	elixir; panacea
voejhäpva	ihmeellinen	marvellous; wonderful; prodigious; wondrous; astounding; astonishing; amazing; marvelous; miraculous
voejhääpli	ihmeissään	nonplussed; surprised; wonderingly
voejka	ohhoh; oho	eh; whoops; oops; ugh
voejsoo	hämmästyttää	magnetize; amaze; appall; astonish; astound
voejsooen	hämmästynyt	astounded; astonished; amazed
voejsooli	hämmästyttävän; hämmästyttävästi	amazingly; astonishingly
voejsoonen	hämmästyksissään	astonished
voejsoote	hämmästys	amazement; astonishment
voejsoova	hämmästyttävä	astonishing; astounding; amazing; stunner
voejva	impotentti	impotent
voejvao	impotenssi	impotence; impotency
vofa	lahja	talent
vofaejva	lahjaton	brainless; untalented
vofava	lahjakas	talented; gifted
vofbekem	vohveli	waffle; wafer
vofii	tuntea	sense
vofiiva	tunteva	sentient
vofio	tunto	feeling; sensation; sense
vofioejva	tunnoton	insensitive; numb
vofioejvao	tunnottomuus	hardness; numbness
vofioriip	puutua	go numb; go dead
vofipätap	tuntosarvi; lonkero	tentacle
vofisenev	tuntoaisti; tuntoaistin	sense of touch; tactile
vofouejva	taipumaton	inflexible
vofoulio	taipumus	proneness; tendency; propensity; predisposition; disposition; proclivity
vofouob	taipuma	deflection
vofouu	taipua	bend; diffract
vofouuejva	taipumaton	unyielding; unbending
vofouuen	taipunut	bent; deflected
vofouute	taipuminen	deflection
vofouva	taipuisa; taipuva; taipuvainen	flexural; prone; predisposed; pliant; tending; flexible; ductile; bending; bendable; pliable; inclining
vogliu	luisto	slide
vogliuu	luistaa	slink; slip
vohapiir	treenata	work out; train
vohapiirte	treenaus; treeni	training; workout
vohokauu	hahmottaa	discern; perceive
vohö	kuulo	hearing; auditory; audition
vohö-	kuulo-	aural
vohösali	kuulemma	for all I know; reportedly; reputedly
vohösasa	kuulopuhe	hearsay
vohöseneevte	kuuloaistimus	auditory sensation
vohösenev	kuuloaisti	sense of hearing; auditory modality; auditory sense
vohövao	kuuluvuus	loudness; reception
vohövo	kuuloke	earphone
vohövosi	kuulokkeet	earphones; headphones; headset
vohövö	kuulolaite	hearing aid
vohöö	kuulla	get a line; pick up; overhear; get wind; get word; hear
vohöö ja a	kuulehan	listen; look here
vohööejva	kuulumaton	inaudible; unheard
vohööen	kuullut; kuultu	heard
vohööjo	kuulija	hearer; listener
vohööli	kuuluvasti	audibly
vohööna	kuultavissa	audible
vohööta	kuulemiin	Goodbye
vohöötava	kuultava	audible
vohööte	kuuleminen	hearing
vohööva	kuuleva	hearing
vohöövova	korvinkuultava; kuuluva	audible; hearable
voi	voi	woe
vojuspaa	konfiguroida	configure
voka	näkö; näkö-	eyesight; ocular; sight; vision
vokaa	nähdä	see
vokaaen	nähnyt; nähty	seen
vokaali	nähtävästi; näemmä	apparently
vokaata	näkemiin	goodbye; so long
vokaatava	nähtävä	be seen; be visible
vokaate	näkeminen	seeing; sight
vokaava	näkevä	sighted
vokaavao	nähtävyys	sight; attraction; showplace
vokadaa	tunnistaa	identify; recognise; recognize
vokadaaen	tunnistettu	recognized; distinguished; identified
vokadaana	tunnistettavissa	recognizable; identifiable; recognisable
vokadaate	tunnistaminen; tunnistus	identification; recognition
vokadaava	tunnistettava	recognizable
vokadaejva	tunnistamaton	unidentified; unrecognizable
vokadao	tunniste	identifier; tag
vokadavö	tunnistin	detector; sensor
vokaiplo	näkökohta; pointti	aspect; point
vokaleilo	näköala	sight; view; vista
vokaleimol	näkökenttä	field of view; field of vision; line of sight
vokapolyo	näköispainos	facsimile
vokarauri	näköpiiri	horizon
vokatarob	näköharha	hallucination
vokavote	näkökyky	eyesight; sightedness; vision
vokliir	selvitä	clarify; survive; get over; get clear
voknitrol	puola	bobbin
vol	seinä	wall
volbol	seinäpallo; squash	squash
volfhaupe	susikoira	wolfdog
volfpe	hukka; susi	wolf
volfpekuol	sudenkuoppa	pitfall
volfpesio	susilauma	pack of wolves
voli	mahdollisesti	potentially; possibly
voliva	instrumentaalinen; välineellinen	instrumental
volkaatvo	lampetti; seinävalaisin	sconce; wall lamp
volkato	taulu	table; blackboard; board
volkavto	taulu	picture; painting
volkämoto	fresko; seinämaalaus	fresco; mural
vollatto	seinälaatta	wall tile
volmat	ryijy	Finnish rug
volpaapr	tapetoida	wallpaper
volpaaprte	tapetointi	wallpapering
volpapr	tapetti	wallpaper
volsitul	sola	pass; defile; mountain pass
voltkir	jännäri	thriller; whodunit
voltri	jännite; voltti	tension; volt; voltage
voltrisors	jännitelähde	voltage source
voltriögob	varistori	varistor
voltsa	trilleri	thriller
vom	neste	liquid
vom fapa	nesteen päästö	liquid discharge
vomaap	ammentaa	draw; ladle
vomdolglaves	dekantterilasi	beaker
vomdool	kaataa; kaataa neste	pour the liquid; spill; pour
vomdooljo	kaataja	pourer
vomemikjätret	ripuli	diarrhea; diarrhoea
vomfapa	nestepäästö	effluent
vomham	nestekaasu; nestemäinen kaasu	liquid gas; LPG
vomhammova	kolloidinen	colloidal
vomhom	höyry	steam; vapour; vapor
vomhomrauporivö	höyryturbiini	steam turbine
vomhomteoova	höyrynpitävä	vapour proof
vomhomva	höyryinen	steamy
vomhomvuvö	höyrylaiva	steamboat; steamer
vomhomvö	höyrykone	steam engine
vomhoom	höyrytä	fume; reek; steam
vomhoomvo	höyrystin	evaporator
vomhu	pärske; roiske	spatter; splutter
vomhuu	läiskiä; pärskiä	plash; splutter
vomik	tippa; pisara	droplet; drop
vomiklyy	tippua	drip; drop
vomiklyyte	tippuminen	dripping
vomiksili	tipoittain	drop by drop; in driblets
vomkid	nestekide	liquid crystal
vomleituo	valuma	runoff; run-off
vomleituu	valua	drain; stream; flow; run
vomlouysrida	hydrauliikka	hydraulics
vomlouysrili	hydraulisesti	hydraulically
vomlouysriva	hydraulinen	hydlaulic; hydraulic; hydraulical
vommuu	nesteyttää	liquefy
vommuute	nesteytys	hydration
vomnituejva	vuotamaton	impervious; leakproof
vomnituo	vuoto	leak; leakage; spillage
vomnituu	vuotaa	leak
vomnituute	vuotaminen	leakage
vomnituöön	vuoto pysähtyy; vuoto tyrehtyy	leak stops
vomnivro	nestehukka	dehydration
vomoop	laimentaa	dilute
vomoopte	laimennus	dilution
vomopli	laimeasti	tamely
vomopva	laimea	bland; dilute; diluted; watery
vomos	allas	tank; tub
vomossi	altaat	pools
vompaves	kannu	ewer; jug; pitcher
vomtihruu	tiivistää nestettä	condense the liquid
vomtseet	ruiskuttaa	squeeze out; squirt; spray; inject
vomtset	ruiske	injection
vomtsetvo	ruisku	hose; syringe
vomtuu	virrata	flow; pour; run; stream
vomva	nestemäinen	fluidic; liquid
vonhava	vanha hyvä	olden
vonkirfäflo	antikvariaatti	second hand bookshop
vono	tilaisuus	occasion; opportunity
vonpiiren	vanhentunut	obsolete; outdated; obsolescent; expired; antiquated; out-of-date
vontunovno	renessanssi	Renaissance; Renascence
vonva	vanha	former
voo	voi; voida	be able; can
vooen	voinut	could
vooif	voisi	would; could
vooifko ja	voisitko	will you please
vooko it	voiko se	can it
vooko ja	voitko	can you
voolt	jännittää	be excited
vooltli	jännittävästi; jännästi	excitedly; excitingly; thrillingly
vooltnen	jännityksessä	in suspense
vooltte	jännitys	excitation; thrill; suspense; excitement; nervousness
vooltva	jännittävä; jännä	whammy; exciting; groovy; thrilling
voosh	pestä	wash up; wash; launder; scour
vooshejva	pesemätön	unwashed
vooshte	peseminen; pesu	lavation; wash; washing
vooshvova	pestävä	washable
vooshvö	pesukone	washing machine; washer
voota	voidaan	can be
vootava	voitava	everything in power; one's best; all one can
vopaate	instrumentointi	instrumentation
vopiir	harjoittaa	exercise
vopiirleitol	harjoitussali	training hall
vopiirob	harjoitus	drill; workout; rehearsal; exercise; practice session
vopiirteob	harjoitustehtävä	exercise
vopo	puhti	energy; oomph; pep; vigor; vim; zip
vopoo	ponnistaa	exert; push; strive; try hard
vopoote	ponnistus	exertion; effort
